Molecule / Candidate,Entity Class,Relationship to GPR62,Direct GPR62 Evidence,Direct GPR62 PMIDs,Direct GPR62 Paper Count,GPR61,GPR135,MT2,5-HT6,Related Receptors,GPCRLigNet Score,ML Prediction,Experimental Validation,Evidence Level,Literature Score,Priority Score,PubChem CID,SMILES,Related Paper Count
amsonic acid,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.3753829598426819,Low,Unvalidated,E,3,0.31249892389774325,6668,C1=CC(=C(C=C1N)S(=O)(=O)O)C=CC2=C(C=C(C=C2)N)S(=O)(=O)O,2
Ethanolamine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,Yes,No,No,No,GPR61,0.11912622302770615,Low,Direct receptor evidence,B,6,0.301932044968009,700,C(CO)N,1
Norepinephrine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,Yes,No,Yes,5-HT6 receptor; GPR135,0.1314825713634491,Low,Unvalidated,E,11,0.2949636713862419,439260,C1=CC(=C(C=C1C(CN)O)O)O,5
Thulium,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.2463664561510086,Low,Unvalidated,E,1,0.28713819649815564,23961,[Tm],1
Dizocilpine Maleate,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,Yes,5-HT6 receptor; MT2 receptor,0.17765319347381592,Low,Unvalidated,E,23,0.28647457575798035,6420042,CC12C3=CC=CC=C3CC(N1)C4=CC=CC=C24.C(=CC(=O)O)C(=O)O,4
2-iodomelatonin,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.20315669476985931,Low,Unvalidated,E,13,0.2830518516004086,115348,CC(=O)NCCC1=C(NC2=C1C=C(C=C2)OC)I,3
Olanzapine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.2826659381389618,Low,Unvalidated,E,17,0.2802328597903252,135398745,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,5
dl-p-chlorophenylalanine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.32338035106658936,Low,Unvalidated,E,3,0.27869722819328313,4652,C1=CC(=CC=C1CC(C(=O)O)N)Cl,1
phenothiazine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.31162142753601074,Low,Direct receptor evidence,C,6,0.277053927898407,7108,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,1
Boron,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.2298387885093689,Low,Unvalidated,E,1,0.2763952125310898,5462311,[B],1
Epinephrine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,Yes,No,No,GPR135,0.12740598618984222,Low,Unvalidated,E,3,0.27631389102339743,5816,CNCC(C1=CC(=C(C=C1)O)O)O,1
AVN-492,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.284511923789978,Low,Direct receptor evidence,C,12,0.27143275046348575,56655571,CC1=C(C(=NC2=C(C(=NN12)NC)S(=O)(=O)C3=CC=CC=C3)C)N(C)C,1
Bicuculline,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.305184543132782,Low,Unvalidated,E,3,0.26686995303630834,10237,CN1CCC2=CC3=C(C=C2C1C4C5=C(C6=C(C=C5)OCO6)C(=O)O4)OCO3,1
benzofuran,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.20484234392642975,Low,Unvalidated,E,3,0.26414752355217935,9223,C1=CC=C2C(=C1)C=CO2,1
2-[125I]iodomelatonin,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.20315669476985931,Low,Unvalidated,E,3,0.26305185160040856,644212,CC(=O)NCCC1=C(NC2=C1C=C(C=C2)OC)I,1
Zinc Oxide,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.19647784531116486,Low,Unvalidated,E,2,0.25671059945225716,3007857,[O-2].[Zn+2],1
Niacinamide,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.1927245706319809,Low,Unvalidated,E,3,0.2562709709107876,936,C1=CC(=CN=C1)C(=O)N,1
N-(2-(4-(2-methoxyphenyl)-1-piperazinyl)ethyl)-N-(2-pyridinyl)cyclohexanecarboxamide,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.271332710981369,Low,Unvalidated,E,6,0.2508662621378899,5684,COC1=CC=CC=C1N2CCN(CC2)CCN(C3=CC=CC=N3)C(=O)C4CCCCC4,2
benzothiazolone,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.2659669816493988,Low,Direct receptor evidence,C,6,0.24737853807210924,13625,C1=CC=C2C(=C1)NC(=O)S2,1
Metformin,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.1762213259935379,Low,Unvalidated,E,3,0.24554386189579963,4091,CN(C)C(=N)N=C(N)N,1
Strontium,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.17730380594730377,Low,Unvalidated,E,1,0.24224747386574746,5359327,[Sr],1
dopamine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,Yes,5-HT6 receptor; MT2 receptor,0.06756026297807693,Low,Direct receptor evidence,C,34,0.23691417093575,681,C1=CC(=C(C=C1CCN)O)O,15
Streptozocin,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,Yes,5-HT6 receptor; MT2 receptor,0.13757288455963135,Low,Unvalidated,E,11,0.23642237496376037,29327,CN(C(=O)NC1C(C(C(OC1O)CO)O)O)N=O,4
indole,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.18069739639759064,Low,Direct receptor evidence,C,28,0.23595330765843392,798,C1=CC=C2C(=C1)C=CN2,7
1-naphthaleneacetic acid,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.16315309703350067,Low,Unvalidated,E,1,0.23304951307177546,6862,C1=CC=C2C(=C1)C=CC=C2CC(=O)O,1
benzenesulfonamide,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.254574179649353,Low,Indirect/context evidence,D,1,0.22997321677207946,7370,C1=CC=C(C=C1)S(=O)(=O)N,1
Zn2+,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.15823692083358765,Low,Unvalidated,E,1,0.22985399854183197,32051,[Zn+2],1
BGC,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.2442263513803482,Low,Unvalidated,E,3,0.22724712839722636,64689,C(C1C(C(C(C(O1)O)O)O)O)O,1
Cadmium,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.13735178112983704,Low,Indirect/context evidence,D,5,0.2242786577343941,23973,[Cd],2
Fe2+,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.14468339085578918,Low,Unvalidated,E,1,0.22104420405626296,27284,[Fe+2],1
Acrylamide,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.1431623250246048,Low,Unvalidated,E,1,0.22005551126599313,6579,C=CC(=O)N,1
Copper,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.14189766347408295,Low,Unvalidated,E,1,0.21923348125815392,23978,[Cu],1
Sodium,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.13455082476139069,Low,Unvalidated,E,1,0.21445803609490394,5360545,[Na],1
N-Methylaspartate,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.210951566696167,Low,Unvalidated,E,7,0.21361851835250856,22880,CNC(CC(=O)O)C(=O)O,2
Ca2+,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.12520547211170197,Low,Unvalidated,E,2,0.2103835568726063,271,[Ca+2],2
Scopolamine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.2069084495306015,Low,Unvalidated,E,6,0.208990492194891,3000322,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4,1
"6-fluoro-3-(piperidin-4-yl)-1,2-benzoxazole",Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.22003638744354248,Low,Unvalidated,E,1,0.20752365183830263,849421,C1CNCCC1C2=NOC3=C2C=CC(=C3)F,1
Cadmium Chloride,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.11320284754037857,Low,Indirect/context evidence,D,4,0.2065818509012461,24947,Cl[Cd]Cl,1
Tyrosine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.11300835758447647,Low,Unvalidated,E,3,0.2044554324299097,6057,C1=CC(=CC=C1CC(C(=O)O)N)O,1
melatonin sulfate,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.11160489916801453,Low,Unvalidated,E,3,0.20354318445920944,129629376,CC(=O)NCCC1=C2N(C3=C1C=C(C=C3)OC)OS(=O)(=O)O2,1
Helium,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.11473513394594193,Low,Unvalidated,E,1,0.20157783706486226,23987,[He],1
Chloroquine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.20125119388103485,Low,Indirect/context evidence,D,4,0.20131327602267265,2719,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,1
gamma-Aminobutyric Acid,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,Yes,5-HT6 receptor; MT2 receptor,0.06152084469795227,Low,Unvalidated,E,18,0.20098854905366897,119,C(CC(=O)O)CN,6
2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.11335601657629013,Low,Unvalidated,E,1,0.2006814107745886,3973,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4,1
3-(2-acetamidoethyl)-6-fluoro-5-methoxy-N-methyl-1H-indole-2-carboxamide,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.10669170320034027,Low,Unvalidated,E,3,0.2003496070802212,72948198,CC(=O)NCCC1=C(NC2=CC(=C(C=C21)OC)F)C(=O)NC,1
Escitalopram,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.20217610895633698,Low,Unvalidated,E,3,0.19991447082161903,146570,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,1
Citalopram,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.20217610895633698,Low,Unvalidated,E,3,0.19991447082161903,2771,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,1
6-chloro-5-methyl-1-((2-(2-methylpyrid-3-yloxy)pyrid-5-yl)carbamoyl)indoline,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.20004871487617493,Low,Unvalidated,E,3,0.19853166466951372,3644637,CC1=CC2=C(C=C1Cl)N(CC2)C(=O)NC3=CN=C(C=C3)OC4=C(N=CC=C4)C,1
Cerlapirdine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.18091480433940887,Low,Unvalidated,E,6,0.1920946228206158,16071605,CN(C)CCCOC1=CC2=C(NN=C2C=C1)S(=O)(=O)C3=CC=CC4=CC=CC=C43,1
pyrroloquinoline,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.17800724506378174,Low,Direct receptor evidence,C,6,0.19020470929145816,5061455,C1=CC2=C(C3=C(C=C2)NC=C3)N=C1,1
Ro 4-6790,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.1742989420890808,Low,Unvalidated,E,6,0.18779431235790256,5312145,CNC1=CC(=NC(=N1)NC)NS(=O)(=O)C2=CC=C(C=C2)N,1
SAM-531,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.18091480433940887,Low,Unvalidated,E,3,0.18609462282061578,16071605,CN(C)CCCOC1=CC2=C(NN=C2C=C1)S(=O)(=O)C3=CC=CC4=CC=CC=C43,1
PF-05212365,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.18091480433940887,Low,Unvalidated,E,3,0.18609462282061578,16071605,CN(C)CCCOC1=CC2=C(NN=C2C=C1)S(=O)(=O)C3=CC=CC4=CC=CC=C43,1
Carbon Tetrachloride,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.08734878897666931,Low,Unvalidated,E,1,0.18377671283483504,5943,C(Cl)(Cl)(Cl)Cl,1
SC79,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.07777196168899536,Low,Unvalidated,E,4,0.18355177509784698,2810830,CCOC(=O)C1=C(OC2=C(C1C(C#N)C(=O)OCC)C=C(C=C2)Cl)N,2
Curcumin,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.07023962587118149,Low,Direct receptor evidence,C,6,0.18265575681626797,969516,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,1
9-(tetrahydro-2-furyl)-adenine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.16994865238666534,Low,Unvalidated,E,3,0.17896662405133248,22879197,C1CC(OC1)N2C=NC3=C(N=CN=C32)N,1
Histamine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.1518675535917282,Low,Indirect/context evidence,D,8,0.17721390983462337,774,C1=C(NC=N1)CCN,1
2-phenylpyrrole,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.15618988871574402,Low,Direct receptor evidence,C,6,0.17602342766523363,72898,C1=CC=C(C=C1)C2=CC=CN2,1
piperidine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.16186371445655823,Low,Unvalidated,E,3,0.17371141439676285,8082,C1CCNCC1,1
8-methoxy-2-propionamidotetralin,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.062083225697278976,Low,Unvalidated,E,3,0.17135409670323135,5170952,CCC(=O)NC1CCC2=C(C1)C(=CC=C2)OC,1
Levodopa,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.15303640067577362,Low,Unvalidated,E,4,0.16997366043925288,6047,C1=CC(=C(C=C1CC(C(=O)O)N)O)O,2
Caffeine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.06286896765232086,Low,Indirect/context evidence,D,1,0.16786482897400856,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,1
naphthalene,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,Yes,5-HT6 receptor; MT2 receptor,0.05009707808494568,Low,Unvalidated,E,4,0.1655631007552147,931,C1=CC=C2C=CC=CC2=C1,2
isoquinoline,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.05196663737297058,Low,Direct receptor evidence,C,3,0.1647783142924309,8405,C1=CC=C2C=NC=CC2=C1,1
1H-tetrazole,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.1473826766014099,Low,Unvalidated,E,3,0.16429873979091647,67519,C1=NNN=N1,1
Lead,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.15585173666477203,Low,Unvalidated,E,0,0.1638036288321018,5352425,[Pb],1
Sulfur-35,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.14425905048847198,Low,Unvalidated,E,3,0.1622683828175068,91866193,[S],1
IIK7,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.028973238542675972,Low,Unvalidated,E,9,0.16183260505273936,4172142,CCCC(=O)NCCC1=C2C3=CC=CC=C3CN2C4=C1C=C(C=C4)OC,2
UCM1014,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.03716757893562317,Low,Unvalidated,E,6,0.16115892630815506,121231413,CCC(=O)NCC1CCC2=C(N1CC3=CC=CC=C3)C=CC=C2OC,1
SB 207266,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.1409721076488495,Low,Unvalidated,E,3,0.16013186997175216,177336,CCCCN1CCC(CC1)CNC(=O)C2=C3N(CCCO3)C4=CC=CC=C42,1
"1H-imidazo[4,5-c]pyridine",Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.13883161544799805,Low,Unvalidated,E,3,0.15874055004119875,9227,C1=CN=CC2=C1N=CN2,1
Carbon-11,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.11383526027202606,Low,Direct receptor evidence,C,11,0.15849291917681693,91867649,[C],2
Ca(2+),Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.12520547211170197,Low,Unvalidated,E,7,0.1578835568726063,271,[Ca+2],1
Cyclopentanes,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.1326601803302765,Low,Unvalidated,E,3,0.15472911721467975,9253,C1CCCC1,1
ethylamide,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.034332025796175,Low,Unvalidated,E,3,0.15331581676751377,1520364,CNS(=O)(=O)C1=CC=C(S1)Br,1
ketamine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.06399732083082199,Low,Direct receptor evidence,C,24,0.15209825854003428,3821,CNC1(CCCCC1=O)C2=CC=CC=C2Cl,4
Formaldehyde,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.10891252011060715,Low,Unvalidated,E,9,0.15129313807189462,712,C=O,1
Selenium,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.12591584026813507,Low,Unvalidated,E,3,0.15034529617428782,6326970,[Se],1
"1,3,5-triazine",Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.06142664700746536,Low,Direct receptor evidence,C,23,0.1484273205548525,9262,C1=NC=NC=N1,6
Creatinine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.03146181255578995,Low,Unvalidated,E,1,0.14745017816126346,588,CN1CC(=O)N=C1N,1
6-methyladenine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.022505832836031914,Low,Unvalidated,E,2,0.14362879134342074,67955,CNC1=NC=NC2=C1NC=N2,1
Praseodymium,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.10212530195713043,Low,Unvalidated,E,7,0.14288144627213478,23942,[Pr],1
Fluorine-18,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.10033348947763443,Low,Unvalidated,E,7,0.14171676816046241,131704324,[F],1
3-methyladenine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.01598503813147545,Low,Unvalidated,E,3,0.14139027478545904,135398661,CN1C=NC(=N)C2=C1N=CN2,1
3-MA,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.01598503813147545,Low,Unvalidated,E,3,0.14139027478545904,135398661,CN1C=NC(=N)C2=C1N=CN2,1
Antimony,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.10812331736087799,Low,Unvalidated,E,3,0.1387801562845707,5354495,[Sb],1
2-phenylmelatonin,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.010979587212204933,Low,Unvalidated,E,3,0.13813673168793322,4018512,CC(=O)NCCC1=C(NC2=C1C=C(C=C2)OC)C3=CC=CC=C3,1
Hydrocortisone,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.0019614084158092737,Low,Unvalidated,E,5,0.13627491547027604,5754,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,1
1-amino-4-methylpiperazine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.10345988720655441,Low,Unvalidated,E,3,0.13574892668426036,81349,CN1CCN(CC1)N,1
Flumazenil,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.10152677446603775,Low,Unvalidated,E,3,0.13449240340292457,3373,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,1
Oxaliplatin,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.08400486409664154,Low,Unvalidated,E,7,0.13110316166281702,9887053,C1CCC(C(C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],3
dehydroacetic acid,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,Yes,No,MT2 receptor,0.006209161132574081,Low,Unvalidated,E,1,0.13103595473617316,122903,CC1=CC(=O)C(C(=O)O1)C(=O)C,1
Dimethyl Sulfoxide,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.09143885225057602,Low,Unvalidated,E,3,0.12793525396287442,679,CS(=O)C,1
PCPA,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.08701536804437637,Low,Unvalidated,E,3,0.12505998922884465,26229,C1=CC(=CC=C1OCC(=O)O)Cl,1
azasetron,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.08650144189596176,Low,Unvalidated,E,3,0.12472593723237516,2264,CN1C(=O)COC2=C(C=C(C=C21)Cl)C(=O)NC3CN4CCC3CC4,1
Oxidopamine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.017821574583649635,Low,Unvalidated,E,25,0.12408402347937227,4624,C1=C(C(=CC(=C1O)O)O)CCN,5
AVN-322,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.08132769912481308,Low,Direct receptor evidence,C,3,0.12136300443112852,135905417,CNC1=NN2C3=C(CN(CC3)C)C=NC2=C1S(=O)(=O)C4=CC=CC=C4.Cl,1
Sulfur Dioxide,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.08026039600372314,Low,Unvalidated,E,3,0.12066925740242004,1119,O=S=O,1
coumarin,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.07415731996297836,Low,Unvalidated,E,3,0.11670225797593595,323,C1=CC=C2C(=C1)C=CC(=O)O2,1
Tropisetron,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.07190857082605362,Low,Unvalidated,E,3,0.11524057103693486,656665,CN1C2CCC1CC(C2)OC(=O)C3=CNC4=CC=CC=C43,1
Glycerol,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.06869403272867203,Low,Unvalidated,E,3,0.11315112127363683,753,C(C(CO)O)O,1
Ondansetron,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.05891041457653046,Low,Unvalidated,E,6,0.1127917694747448,4595,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,2
dopamine D2,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.06756026297807693,Low,Unvalidated,E,3,0.11241417093575001,18598488,C1=CC(=C(C=C1CCN)O)O,1
Thymol,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.05689239501953125,Low,Unvalidated,E,3,0.10548005676269531,6989,CC1=CC(=C(C=C1)C(C)C)O,1
acetylcholine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.004161999095231295,Low,Direct receptor evidence,C,20,0.10520529941190035,187,CC(=O)OCC[N+](C)(C)C,6
GABA,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.06152084469795227,Low,Unvalidated,E,0,0.10248854905366897,119,C(CC(=O)O)CN,1
N-phenylsulfonylindole,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.0418897420167923,Low,Direct receptor evidence,C,6,0.10172833231091499,315017,C1=CC=C(C=C1)S(=O)(=O)N2C=CC3=CC=CC=C32,1
Oxazolidinones,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.05021544173359871,Low,Unvalidated,E,3,0.10114003712683917,73949,C1COC(=O)N1,1
pyrazole,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.04027549549937248,Low,Direct receptor evidence,C,6,0.1006790720745921,1048,C1=CNN=C1,1
Ethanol,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.03753688558936119,Low,Direct receptor evidence,C,6,0.09889897563308477,702,CCO,1
emtricitabine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.05273628607392311,Low,Unvalidated,E,1,0.09877858594805003,60877,C1C(OC(S1)CO)N2C=C(C(=NC2=O)N)F,1
lorcaserin,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.0370190255343914,Low,Unvalidated,E,6,0.09856236659735441,11658860,CC1CNCCC2=C1C=C(C=C2)Cl,1
